DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2-Jan-20,EGAD,Eaagads Ltd,8.2,14,10.1,10.1,10.1,10.1,NaN,NaN,NaN,NaN
2-Jan-20,KUKZ,Kakuzi Plc,300,423.5,340,340,340,340,NaN,NaN,NaN,NaN
2-Jan-20,KAPC,Kapchorua Tea Kenya Plc,59,95,80,80,80,80,NaN,NaN,NaN,NaN
2-Jan-20,LIMT,Limuru Tea Plc,385,475,450,450,450,450,NaN,NaN,NaN,NaN
2-Jan-20,SASN,Sasini Plc,14.8,19.6,16.15,16.15,16.15,16.9,-0.75,4.44%,300,NaN
2-Jan-20,WTK,Williamson Tea Kenya Plc,92,165,139,139,139,139.5,-0.5,0.36%,100,NaN
2-Jan-20,CGEN,Car and General (K) Ltd,20,26,26,26,26,26,NaN,NaN,NaN,NaN
2-Jan-20,ABSA,ABSA Bank Kenya Plc,9.1,14.2,13.2,13.45,13.35,13.35,NaN,NaN,"51,800",NaN
2-Jan-20,BKG,BK Group Plc,16.4,28,28,28,28,28,NaN,NaN,NaN,NaN
2-Jan-20,COOP,Co-operative Bank of Kenya Ltd,10.5,17,16.2,16.5,16.35,16.35,NaN,NaN,"127,400",NaN
2-Jan-20,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,111,111,111,109,2,1.83%,100,NaN
2-Jan-20,EQTY,Equity Group Holdings Plc,30.5,55.5,53,54.5,54.25,53.5,0.75,1.40%,"306,200",NaN
2-Jan-20,HFCK,HF Group Ltd,3.49,7.9,6.2,6.58,6.34,6.46,-0.12,1.86%,"31,100",NaN
2-Jan-20,IMH,I & M Holdings Plc,43.1,59,54,54,54,54,NaN,NaN,"9,400",NaN
2-Jan-20,KCB,KCB Group Plc,33.75,55.5,54,55,54.25,54,0.25,0.46%,"225,000",NaN
2-Jan-20,NBK,National Bank of Kenya Ltd,3.4,4.33,4.12,4.12,4.12,4.12,NaN,NaN,NaN,NaN
2-Jan-20,NCBA,NCBA Group Plc,24.9,40,36.55,37,36.85,36.85,NaN,NaN,"167,800",NaN
2-Jan-20,SBIC,Stanbic Holdings Plc,76.5,118.5,109.25,109.25,109.25,109.25,NaN,NaN,NaN,NaN
2-Jan-20,SCBK,Standard Chartered Bank Kenya Ltd,161,220,200,200,200,202.5,-2.5,1.23%,100,NaN
2-Jan-20,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,NaN,NaN,NaN,NaN
2-Jan-20,EVRD,Eveready East Africa Ltd,0.75,1.28,1,1.13,1.09,1.1,-0.01,0.91%,"1,800",NaN
2-Jan-20,XPRS,Express Kenya Plc,4.15,7.34,6.84,6.84,6.84,6.84,NaN,NaN,NaN,NaN
2-Jan-20,KQ,Kenya Airways Plc,0.8,5.5,2.05,2.2,2.09,2.05,0.04,1.95%,"32,200",NaN
2-Jan-20,LKL,Longhorn Publishers Plc,4.26,8.6,6.6,6.9,6.82,6.76,0.06,0.89%,"9,500",NaN
2-Jan-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,0.7,0.7,0.7,0.7,NaN,NaN,NaN,NaN
2-Jan-20,NMG,Nation Media Group Plc,13,49,39.5,40,39.75,39.8,-0.05,0.13%,"4,000",NaN
2-Jan-20,SMER,Sameer Africa Plc,1.91,4.69,3.45,3.45,3.45,3.45,NaN,NaN,NaN,NaN
2-Jan-20,SGL,Standard Group Plc,18,31,27.55,27.55,27.55,27.55,NaN,NaN,NaN,NaN
2-Jan-20,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,17.55,17.55,17.55,17.55,NaN,NaN,NaN,NaN
2-Jan-20,UCHM,Uchumi Supermarket Plc,0.23,0.46,0.29,0.29,0.29,0.29,NaN,NaN,"100,200",NaN
2-Jan-20,SCAN,WPP ScanGroup Plc,10.75,25,17.25,18,17.9,17.2,0.7,4.07%,"1,500",NaN
