DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2-Jan-18,EGAD,Eaagads Ltd,8.2,14,25,25,25,22.75,2.25,9.89%,"10,500",NaN
2-Jan-18,KUKZ,Kakuzi Plc,300,423.5,329,329,329,329,NaN,NaN,NaN,NaN
2-Jan-18,KAPC,Kapchorua Tea Kenya Plc,59,95,67.5,70,67.5,65.5,2,3.05%,"1,000",NaN
2-Jan-18,LIMT,Limuru Tea Plc,385,475,500,500,500,500,NaN,NaN,NaN,NaN
2-Jan-18,SASN,Sasini Plc,14.8,19.6,27,27.5,27,29.5,-2.5,8.47%,300,NaN
2-Jan-18,WTK,Williamson Tea Kenya Plc,92,165,158,158,158,159,-1,0.63%,100,NaN
2-Jan-18,CGEN,Car and General (K) Ltd,20,26,21,21,21,21,NaN,NaN,NaN,NaN
2-Jan-18,ABSA,ABSA Bank Kenya Plc,9.1,14.2,9.55,9.9,9.6,9.6,NaN,NaN,"255,900",NaN
2-Jan-18,COOP,Co-operative Bank of Kenya Ltd,10.5,17,15.9,16.1,15.95,15.95,NaN,NaN,"69,700",NaN
2-Jan-18,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,192,192,192,192,NaN,NaN,"1,000",NaN
2-Jan-18,EQTY,Equity Group Holdings Plc,30.5,55.5,39.5,40.25,39.75,39.75,NaN,NaN,"1,033,300",NaN
2-Jan-18,HFCK,HF Group Ltd,3.49,7.9,9.6,10.9,10.35,10.4,-0.05,0.48%,"12,400",9.41
2-Jan-18,IMH,I & M Holdings Plc,43.1,59,120,120,120,127,-7,5.51%,300,60
2-Jan-18,KCB,KCB Group Plc,33.75,55.5,42.5,43.5,42.75,42.75,NaN,NaN,"170,900",NaN
2-Jan-18,NBK,National Bank of Kenya Ltd,3.4,4.33,9.35,9.95,9.7,9.35,0.35,3.74%,"1,600",NaN
2-Jan-18,NCBA,NCBA Group Plc,24.9,40,34,34,34,33.95,0.05,0.15%,"194,100",30.91
2-Jan-18,SBIC,Stanbic Holdings Plc,76.5,118.5,80,80,80,81,-1,1.23%,"1,000",NaN
2-Jan-18,SCBK,Standard Chartered Bank Kenya Ltd,161,220,210,210,210,208,2,0.96%,"2,200",NaN
2-Jan-18,DCON,Deacons (East Africa) Plc,0.45,0.45,3.5,3.5,3.5,3.5,NaN,NaN,"1,900",NaN
2-Jan-18,EVRD,Eveready East Africa Ltd,0.75,1.28,2.4,2.4,2.4,2.4,NaN,NaN,"46,600",NaN
2-Jan-18,XPRS,Express Kenya Plc,4.15,7.34,3.75,3.75,3.75,3.75,NaN,NaN,NaN,NaN
2-Jan-18,KQ,Kenya Airways Plc,0.8,5.5,16.6,17.7,17,17.15,-0.15,0.87%,"19,400",NaN
2-Jan-18,LKL,Longhorn Publishers Plc,4.26,8.6,5.2,5.7,5.4,5.35,0.05,0.93%,"57,500",NaN
2-Jan-18,NBV,Nairobi Business Ventures Ltd,0.49,0.99,3.1,3.4,3.2,3.35,-0.15,4.48%,"6,200",NaN
2-Jan-18,NMG,Nation Media Group Plc,13,49,115,117,115,116,-1,0.86%,"1,900",NaN
2-Jan-18,SMER,Sameer Africa Plc,1.91,4.69,2.75,2.9,2.75,2.8,-0.05,1.79%,"3,500",NaN
2-Jan-18,SGL,Standard Group Plc,18,31,37,37,37,37,NaN,NaN,NaN,NaN
2-Jan-18,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,32.5,32.5,32.5,32.5,NaN,NaN,100,NaN
2-Jan-18,UCHM,Uchumi Supermarket Plc,0.23,0.46,4.25,4.8,4.6,4.6,NaN,NaN,"48,600",NaN
2-Jan-18,SCAN,WPP ScanGroup Plc,10.75,25,19,19,19,19,NaN,NaN,NaN,NaN
2-Jan-18,ARM,ARM Cement Plc,5.55,5.55,12.75,13.95,13.45,13,0.45,3.46%,"33,100",NaN
